"طابع زمني","Name of Researcher","Title of Research","DOI of the Research","Department Name","Date"
"2025/11/01 7:55:18 م غرينتش+2","Bashier osman","Date palm pollen grains as a potential manager for male sub-fertility: A clinical trial","https://doi.org/10.9734/jpri/2020/v32i630451","Clinical Pharmacy & Pharmacy Practice","2020"
"2025/11/01 7:57:53 م غرينتش+2","Bashier osman","HPTLC Fingerprint Profile and Identification of Antidiabetic and Antioxidant Leads from Bauhinia rufescens L","https://doi.org/10.1155/2020/3201463","Pharmaceutical Chemistry","2020"
"2025/11/01 7:59:31 م غرينتش+2","Bashier osman","Effect of two sesquiterpene lactones from Capparis decidua (Forsk.) on arachidonic acid and adenosine diphosphate-induced platelets aggregation","https://www.phytopharmajournal.com/Vol3_Issue3_04.pdf","Pharmacology & Toxicology","2014"
"2025/11/01 8:05:51 م غرينتش+2","Bashier osman","Evaluation of antipyretic, antinocieptive and sedative effects of Tribulus terrestris, Mimosa pigra and Alkanna tinctoria methanolic extracts","https://phytopharmajournal.com/assets/pdf_files/Vol5_Issue3_03.pdf","Pharmacology & Toxicology","2016"
"2025/11/01 8:07:28 م غرينتش+2","Bashier osman","Acne vulgaris relapse in sudanese patients treated with oral isotretinoin: Rate and predictive factors","https://doi.org/10.2147/JMDH.S405509","Clinical Pharmacy & Pharmacy Practice","2023"
"2025/11/01 8:09:33 م غرينتش+2","Bashier osman","In vitro profiling of plants used in Sudanese traditional medicine for antioxidant and anti-breast cancer activities","https://scholar.google.com/scholar?cluster=4323895148855017931&hl=en&as_sdt=2005#d=gs_qabs&t=1762020493865&u=%23p%3Dy8GJmbqPATwJ","Pharmacology & Toxicology","2019"
"2025/11/01 8:12:08 م غرينتش+2","Bashier osman","Isolation and characterization of four terpenoidal compounds with potential antimicrobial activity from Tarconanthus camphorantus L.(Asteraceae)","10.4103/jpbs.JPBS_249_18","Pharmaceutical Chemistry","2019"
"2025/11/01 8:12:57 م غرينتش+2","Bashier osman","Pediatric sickle cell disease in Sudan: complications and management","https://doi.org/10.1155/2022/3058012","Clinical Pharmacy & Pharmacy Practice","2022"
"2025/11/01 8:14:44 م غرينتش+2","Bashier osman","Formulation and evaluation of antibacterial herbal formulations containing the aquatic ethanol extract of Kigelia africana fruits","https://scholar.google.com/scholar?oi=bibs&cluster=4988255201234512451&btnI=1&hl=en","Pharmaceutics & Drug Delivery","2019"
"2025/11/01 8:16:05 م غرينتش+2","Bashier osman","Using Zinc in Management of Subfertile Male Patients: a Clinical Trial","https://doi.org/10.47723/kcmj.v13i1.120","Clinical Pharmacy & Pharmacy Practice","2018"
"2025/11/01 8:17:22 م غرينتش+2","Bashier osman","In vitro antioxidant activity and phytochemical profiles of three antitumor medicinal plants grown In Sudan","https://scholar.google.com/scholar?oi=bibs&cluster=13420098643101062333&btnI=1&hl=en","Pharmacology & Toxicology","2014"
"2025/11/01 8:18:30 م غرينتش+2","Bashier osman","Drug use evaluation of cefepime at Khartoum North Teaching Hospital in Sudan","https://doi.org/10.1111/ijcp.13882","Clinical Pharmacy & Pharmacy Practice","2021"
"2025/11/01 8:20:01 م غرينتش+2","Bashier osman","Immunomodulatory Potential of Leptadenia arborea in Immune-Challenged Rats","https://scholar.google.com/scholar?oi=bibs&cluster=16862218400140136347&btnI=1&hl=en","Pharmacology & Toxicology","2020"
"2025/11/01 8:21:32 م غرينتش+2","Bashier osman","Quality of life assessment: a comparative study between haemodialysis and peritoneal dialysis","10.4103/2278-0521.151406","Clinical Pharmacy & Pharmacy Practice","2015"
"2025/11/01 8:30:46 م غرينتش+2","Bashier osman","Pharmacological studies on four anti-tumor medicinal plants grown in Sudan.","http://ijrpc.com/files/34-4207.pdf","Pharmacology & Toxicology","2014"
"2025/11/01 8:34:41 م غرينتش+2","Bashier osman","Letrozole vs clomiphene citrate in Sudanese patients with infertility secondary to polycystic ovary syndrome","https://doi.org/10.1016/j.heliyon.2023.e18107","Clinical Pharmacy & Pharmacy Practice","2023"
"2025/11/01 8:36:13 م غرينتش+2","Bashier osman","Modulatory effects of Momordica balsamina on Th1/Th2 cytokine profiles in immune-challenged rats","https://scholar.google.com/scholar?oi=bibs&cluster=3220161622641778817&btnI=1&hl=en","Pharmacology & Toxicology","2019"
"2025/11/01 8:37:26 م غرينتش+2","Bashier osman","Assessment of optimization of chronic heart failure medications and its effect on readmission rate","https://doi.org/10.1016/j.jsha.2018.05.009","Clinical Pharmacy & Pharmacy Practice","2018"
"2025/11/01 8:39:24 م غرينتش+2","Bashier osman","CLINICAL PHARMACIST’S EDUCATION IMPROVED PATIENTS KNOWLEDGE ABOUT AND ADHERENCE TO WARFARIN","https://scholar.google.com/scholar?cluster=14983379106329677908&hl=en&oi=scholarr","Clinical Pharmacy & Pharmacy Practice","2016"
"2025/11/01 8:40:56 م غرينتش+2","Bashier osman","Development, optimization and comparative In-vivo evaluation of salbutamol floating capsule formulation","https://www.researchgate.net/profile/Abubakr-Nur/publication/275658346_DEVELOPMENT_OPTIMIZATION_AND_COMPARATIVE_IN-VIVO_EVALUATION_OF_SALBUTAMOL_FLOATING_CAPSULE_FORMULATION/links/5545d8810cf24107d397cd69/DEVELOPMENT-OPTIMIZATION-AND-COMPARATIVE-IN-VIVO-EVALUATION-OF-SALBUTAMOL-FLOATING-CAPSULE-FORMULATION.pdf","Pharmaceutics & Drug Delivery","2015"
"2025/11/01 8:42:38 م غرينتش+2","Bashier osman","Evaluation of Lead Content in Topical Cosmetics Commonly Used in Sudan","https://wjpr.s3.ap-south-1.amazonaws.com/article_issue/1420088809.pdf","Pharmaceutical Chemistry","2014"
"2025/11/01 8:47:40 م غرينتش+2","Bashier osman","Antinociceptive and Analgesic Activities of Asparagus Flagellaris (Kunth) Baker, Tephrosia Uniflora Pers., and Acacia Gerrardii Benth","10.21608/EJCHEM.2023.228934.8420","Pharmacology & Toxicology","2023"
"2025/11/01 8:49:13 م غرينتش+2","Bashier osman","Antimicrobial activity and cytotoxicity of fresh and dry fruits of Kigelia africana","https://scholar.google.com/scholar?oi=bibs&cluster=7949780320572956218&btnI=1&hl=en","Pharmacology & Toxicology","2019"
"2025/11/01 8:51:09 م غرينتش+2","Bashier osman","Assessment of Pharmacists’ and Patients’ Knowledge and Attitude Towards Irrational Use of Chlordiazepoxide-Clidinium Bromide Combination","https://www.researchgate.net/profile/Bashier-Osman/publication/304743302_ASSESSMENT_OF_PHARMACISTS'_AND_PATIENTS'_KNOWLEDGE_AND_ATTITUDE_TOWARDS_IRRATIONAL_USE_OF_CHLORDIAZEPOXIDE-CLIDINIUM_BROMIDE_COMBINATION_IN_KHARTOUM_STATE/links/5778ec0f08aead7ba0763cf2/ASSESSMENT-OF-PHARMACISTS-AND-PATIENTS-KNOWLEDGE-AND-ATTITUDE-TOWARDS-IRRATIONAL-USE-OF-CHLORDIAZEPOXIDE-CLIDINIUM-BROMIDE-COMBINATION-IN-KHARTOUM-STATE.pdf","Clinical Pharmacy & Pharmacy Practice","2016"
"2025/11/01 8:52:58 م غرينتش+2","Bashier osman","Development, Optimization And Comparative Pharmacokinetics Evaluation Of Glibenclamide Buoyant Tablet Formulation","https://www.researchgate.net/profile/Abubakr-Nur/publication/280599588_DEVELOPMENT_OPTIMIZATION_AND_COMPARATIVE_PHARMACOKINETICS_EVALUATION_OF_GLIBENCLAMIDE_BUOYANT_TABLET_FORMULATION/links/55bcfdc108aec0e5f44455c4/DEVELOPMENT-OPTIMIZATION-AND-COMPARATIVE-PHARMACOKINETICS-EVALUATION-OF-GLIBENCLAMIDE-BUOYANT-TABLET-FORMULATION.pdf","Pharmaceutics & Drug Delivery","2015"
"2025/11/01 8:57:15 م غرينتش+2","Bashier osman","Immunomodulatory Activity of Momordica balsamina, Balanites aegyptiaca and Leptadenia araborea in Rats","https://scholar.google.com/scholar?cluster=10666815428999519527&hl=en&oi=scholarr","Pharmacology & Toxicology","2022"
"2025/11/01 8:57:49 م غرينتش+2","Bashier osman","Pancreaticoduodenectomy for Large Pancreatic Head Tumors: A 10-year Experience of Intraoperative Challenges and Considerations","10.1016/j.hpb.2025.07.717  External Link","Clinical Pharmacy & Pharmacy Practice","2025"
"2025/11/01 8:59:42 م غرينتش+2","Bashier osman","Disease-modifying therapies as positive predictors of quality of life for Sudanese patients with multiple sclerosis: a cross-sectional study","https://doi.org/10.1186/s41983-024-00855-3","Clinical Pharmacy & Pharmacy Practice","2024"
"2025/11/01 9:01:14 م غرينتش+2","Bashier osman","Pharmacy Club: A Model for Organizing a Regular Forum for Science and Research Communication in Higher Education Institutions in Resource-Limited Settings.","https://pdfs.semanticscholar.org/f00e/ba9803bc6f020f4722bbb9898e2f59a1f9d4.pdf","Clinical Pharmacy & Pharmacy Practice","2020"
"2025/11/01 9:05:15 م غرينتش+2","Bashier osman","Assessment of acute toxicity and LD 50 of Moringa oleifera ethanolic leave extract in albino rats and","https://www.researchgate.net/publication/280306905_Assessment_of_acute_toxicity_and_LD_50_of_Moringa_oleifera_ethanolic_leave_extract_in_albino_rats_and_rabbits","Pharmacology & Toxicology","2015"
"2025/11/01 9:06:20 م غرينتش+2","Bashier osman","Antioxidant and Antimicrobial Effects of Different Extracts of Tarconanthus camphoratus L.","https://www.researchgate.net/profile/Wadah-Osman/publication/268152305_Antioxidant_and_Antimicrobial_Effects_of_Different_Extracts_of_Tarconanthus_camphoratus_L_Address_for_correspndence_INTRODUCTION/links/5462f63c0cf2837efdb0097d/Antioxidant-and-Antimicrobial-Effects-of-Different-Extracts-of-Tarconanthus-camphoratus-L-Address-for-correspndence-INTRODUCTION.pdf","Pharmacology & Toxicology","2014"
"2025/11/01 9:09:32 م غرينتش+2","Bashier osman","Conference Proceedings: J Clin Pharmacol 2011; 51: 1326-13","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sgyCN30AAAAJ&pagesize=80&citation_for_view=sgyCN30AAAAJ:RGFaLdJalmkC","Pharmaceutics & Drug Delivery","2011"
"2025/11/01 9:10:55 م غرينتش+2","Bashier osman","The mTOR kinase inhibitor rapamycin propagates profibrotic cell signaling cascades in rat renal mesangial cells","https://scholar.google.com/scholar?cluster=3652722490747662185&hl=en&oi=scholarr","Pharmacology & Toxicology","2009"
"2025/11/01 9:12:55 م غرينتش+2","Bashier osman","Rapamycin induces TGFβ [TGF-beta], Smad-mediated profibrotic gene expression in renal mesangial cells upstream and independent of mTOR","https://publikationen.ub.uni-frankfurt.de/frontdoor/index/index/docId/20896","Pharmacology & Toxicology","2009"
"2025/11/01 9:14:19 م غرينتش+2","Bashier osman","Activation of smad-dependent signaling pathways by the mTOR inhibitor sirolimus in rat glomerular mesangial cells","https://scholar.google.com/scholar?cluster=14708324439462726431&hl=en&oi=scholarr","Pharmacology & Toxicology","2008"
"2025/11/01 9:17:27 م غرينتش+2","Bashier osman","Awareness and Management of Neonatal Hyperbilirubinemia in Rural Omdurman City Outskirts, Sudan","https://dx.doi.org/10.2139/ssrn.4791186","Clinical Pharmacy & Pharmacy Practice","2024"
"2025/11/01 9:20:36 م غرينتش+2","Bashier osman","Effects of Methanolic Extract of the bark of Khaya Senegalensis on Various Isolated Tissues Preparations","https://www.researchgate.net/publication/357420175_Effects_of_Methanolic_Extract_of_the_bark_of_Khaya_Senegalensis_on_Various_Isolated_Tissues_Preparations","Pharmacology & Toxicology","2015"
"2025/11/01 9:22:21 م غرينتش+2","Bashier osman","Quality of Life Assessment: A Comparative Study between Haemodialysis and Peritoneal Dialysis","https://doi.org/10.4103/2278-0521.151406","Clinical Pharmacy & Pharmacy Practice","2015"
"2025/11/01 9:24:10 م غرينتش+2","Bashier osman","Immunomodulatory Activity of Momordica balsamina, Balanites aegyptiaca and Leptadenia araborea in Rats","https://www.researchgate.net/publication/272291465_Immunomodulatory_Activity_of_Momordica_balsamina_Balanites_aegyptiaca_and_Leptadenia_araborea_in_Rats","Pharmacology & Toxicology","2015"
"2025/11/01 9:25:54 م غرينتش+2","Bashier osman","Pharmacological Studies On Four Anti Anti-Tumor Medicinal Plants Grown In Sudan","https://www.researchgate.net/publication/267029576_Pharmacological_Studies_on_Four_Anti-Tumor_Medicinal_Plants_Grown_in_Sudan","Pharmacology & Toxicology","2014"
"2025/11/01 9:29:40 م غرينتش+2","Bashier osman","PHARMACOLOGICAL STUDIES ON FOUR ANTI PHARMACOLOGICAL STUDIES ON FOUR ANTI-TUMOR MEDICINAL PLANTS GROWN IN SUDAN MEDICINAL PLANTS GROWN IN SUDAN","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sgyCN30AAAAJ&pagesize=80&citation_for_view=sgyCN30AAAAJ:ldfaerwXgEUC","Pharmacology & Toxicology","2014"
"2025/11/01 9:31:39 م غرينتش+2","Bashier osman","Development, Optimization And Comparative Pharmacokinetics Evaluation Of Glibenclamide Buoyant Tablet Formulation","https://www.researchgate.net/publication/275658346_DEVELOPMENT_OPTIMIZATION_AND_COMPARATIVE_IN-VIVO_EVALUATION_OF_SALBUTAMOL_FLOATING_CAPSULE_FORMULATION","Pharmaceutics & Drug Delivery","2015"
"2025/11/01 9:33:02 م غرينتش+2","Bashier osman","Impact of Clinical Pharmacist Intervention in Warfarin Therapy among Sudanese Patients in Ahmed Gasim Hospital","https://www.researchgate.net/publication/272291520_Impact_of_Clinical_Pharmacist_Intervention_In_Warfarin_Therapy_Among_Sudanese_Patients_In_Ahmed_Gasim_Hospital","Clinical Pharmacy & Pharmacy Practice","2015"
"2025/11/01 9:37:04 م غرينتش+2","Mohammed Alnazeer","Assessment of Adverse Effects and Quality of Life in Sudanese Acne Patients Treated with Oral Isotretinoin: A Descriptive Cross-Sectional Study","https://www.researchgate.net/publication/394886390_Assessment_of_Adverse_Effects_and_Quality_of_Life_in_Sudanese_Acne_Patients_Treated_with_Oral_Isotretinoin_A_Descriptive_Cross-Sectional_Study","Clinical Pharmacy & Pharmacy Practice","2025"
"2025/11/01 9:39:56 م غرينتش+2","Mohamed Mirghani","A Review of antifungal activity of combined plant extracts or plant exudates from medicinal plants either together or with known antifungal agents","https://doi.org/10.9734/EJMP/2022/v33i830483","Pharmacology & Toxicology","2022"
"2025/11/01 9:41:47 م غرينتش+2","Mohamed Mirghani","Pulicaria crispa (Forssk) Oliv: a review of ethnopharmacology, phytochemistry and biological activities","https://www.researchgate.net/publication/344069405_Pulicaria_crispa_Forssk_Oliv_A_Review_of_Ethnopharmacology_Phytochemistry_and_Biological_Activities","Pharmacology & Toxicology","2020"
"2025/11/01 9:44:19 م غرينتش+2","Mohamed Mirghani","In vitro antileishmanial activity of Helianthus annuus and Pulicaria crispa (Asteraceae)","https://doi.org/10.4172/2329-6836.1000268","Pharmacology & Toxicology","2017"
"2025/11/01 9:45:33 م غرينتش+2","Mohamed Mirghani","Hepatoprotective and free radical scavenging activities of methanol extract fractions of Capparis decidua Edgew (Forssk.)(Capparidaceae)","https://doi.org/10.5897/AJPP2020.5180","Pharmacology & Toxicology","2020"
"2025/11/01 9:47:17 م غرينتش+2","Mohamed Mirghani","Chromatographical fingerprint analysis, in silico investigation, and identification of hepatoprotective active compounds from Capparis decidua Edgwe (Forssk.)","https://dx.doi.org/10.7324/JAPS.2024.174125","Pharmaceutical Chemistry","2024"
"2025/11/01 9:48:36 م غرينتش+2","Mohamed Mirghani","Medicinal plants in the treatment of urolithiasis: A review","https://www.researchgate.net/publication/395337496_Medicinal_plants_in_the_treatment_of_urolithiasis_A_review_Plantas_medicinales_en_el_tratamiento_de_la_litiasis_urinaria_Una_revision","Pharmacology & Toxicology","2025"
"2025/11/01 9:50:38 م غرينتش+2","Mohamed Mirghani","Natural product chemistry as an important topic in pharmacy education: Situational analysis and recommendations","https://doi.org/10.1016/j.cptl.2025.102410","Pharmaceutical Chemistry","2025"
"2025/11/01 9:51:45 م غرينتش+2","Mohamed Mirghani","IN VITRO ANTI-BACTERIAL ACTIVITY OF ETHANOL EXTRACT OF ZINGIBER OFFICINALE (ZINGIBERACEAE) COMBINED WITH AMOXYCILLIN AND CEFIXIME","https://doi.org/10.20959/wjpr201817-13384","Pharmacology & Toxicology","2018"
"2025/11/01 9:52:48 م غرينتش+2","Mohamed Mirghani","In vitro antioxidant activity of a flavonoid compound isolated from methanolic extract of Helianthus annuus leaves (Asteraceae) Mohamed Mirghani, Wadah JA Osman 2, Shereen Omer …","https://www.researchgate.net/publication/314101105_In_vitro_Antioxidant_activity_of_a_flavonoid_compound_isolated_from_methanolextract_of_Helianthus_annuus_leaves","Pharmacology & Toxicology","2017"
"2025/11/01 9:57:03 م غرينتش+2","Mohamed Abdulbagi","Investigating peroxide-induced Asp46 epimerization in peroxiredoxin 2 using enzymatic hydrolysis and LC-MS/MS","https://doi.org/10.1016/j.jpba.2025.117047","Pharmaceutical Chemistry","2025"
"2025/11/01 9:58:31 م غرينتش+2","Mohamed Abdulbagi","Resolving D-Amino Acid Containing Peptides Using Ion Mobility-Mass Spectrometry: Challenges and Recent Developments","https://doi.org/10.1080/10408347.2023.2282510","Pharmaceutical Chemistry","2025"
"2025/11/01 9:59:37 م غرينتش+2","Mohamed Abdulbagi","A Rapid and Cost‐Effective Absorption Factor Method for the Multicomponent Quantification of Paracetamol and Orphenadrine","https://doi.org/10.1155/jspe/6994899","Pharmaceutical Chemistry","2025"
"2025/11/01 10:00:25 م غرينتش+2","Mohamed Abdulbagi","Development and Validation of Direct UV-Spectrophotometric Methods for the Analysis of Folic Acid in Bulk and Dosage Form","https://doi.org/10.1007/s10812-024-01831-8","Pharmaceutical Chemistry","2024"
"2025/11/01 10:01:23 م غرينتش+2","Mohamed Abdulbagi","HPLC with chiral stationary phase for separation and kinetics study of aspartic acid epimerization in Peroxiredoxin 2 active site peptide","https://doi.org/10.1016/j.jpba.2024.116247","Pharmaceutical Chemistry","2024"
"2025/11/01 10:02:14 م غرينتش+2","Mohamed Abdulbagi","Separation and characterization of related substances of Lurasidone hydrochloride by LC-QTOF-MS techniques","https://doi.org/10.1016/j.jpba.2023.115834","Pharmaceutical Chemistry","2024"
"2025/11/01 10:03:25 م غرينتش+2","Mohamed Abdulbagi","D-Amino Acids and D-Amino Acid-Containing Peptides: Potential Disease Biomarkers and Therapeutic Targets?","https://doi.org/10.3390/biom11111716","Pharmaceutical Chemistry","2021"
"2025/11/01 10:05:30 م غرينتش+2","Mohamed Abdulbagi","Spectrophotometric Method for the Simultaneous Determination of Isoniazid and Rifampicin in Bulk and Tablet Forms","https://www.researchgate.net/publication/279201484_Spectrophotometric_Method_for_the_Simultaneous_Determination_of_Isoniazid_and_Rifampicin_in_Bulk_and_Tablet_Forms","Pharmaceutical Chemistry","2015"
"2025/11/01 10:08:19 م غرينتش+2","Shima Faisal","P14 The antibiotic resistance profile of bacteria causing acute respiratory tract infections in Khartoum, Sudan","https://doi.org/10.1093/jacamr/dlac053.014","Clinical Pharmacy & Pharmacy Practice","2022"
"2025/11/01 10:09:59 م غرينتش+2","Shima Faisal","Recurrent AIPL1 c.487C>T truncating variant in Leber Congenital Amaurosis: Support of pathogenicity and regional implications","https://doi.org/10.1101/290650","Pharmaceutical Chemistry","2018"
"2025/11/01 10:13:12 م غرينتش+2","Shima Faisal","Exome sequencing of a colorectal cancer family reveals shared mutation pattern and predisposition circuitry along tumor pathways","https://doi.org/10.3389/fgene.2015.00288","Pharmaceutical Chemistry","2015"
"2025/11/01 10:17:49 م غرينتش+2","Elkhanssa Abdelhameed","Evaluation of a hospital pharmacy-based pharmaceutical care services for asthma patients","https://doi.org/10.4321/s1886-36552008000100005","Clinical Pharmacy & Pharmacy Practice","2008"
"2025/11/01 10:18:59 م غرينتش+2","Elkhanssa Abdelhameed","Community pharmacists’ knowledge and practice regarding malaria and its treatment in Sudan: a cross-sectional survey","https://doi.org/10.1007/s11096-020-01149-3","Clinical Pharmacy & Pharmacy Practice","2021"
"2025/11/01 10:19:59 م غرينتش+2","Elkhanssa Abdelhameed","Assessment of knowledge, attitude, and practice of community pharmacists towards allergic rhinitis and its management in Khartoum state: A cross-sectional survey","https://doi.org/10.1016/j.imu.2022.101020","Clinical Pharmacy & Pharmacy Practice","2022"
"2025/11/01 10:21:05 م غرينتش+2","Elkhanssa Abdelhameed","Physicians’ Knowledge, Attitudes, and Practices in Gout Management: A Cross-sectional Study at Soba Teaching Hospital","https://doi.org/10.9734/jamps/2025/v27i5777","Clinical Pharmacy & Pharmacy Practice","2025"
"2025/11/01 10:22:42 م غرينتش+2","Elkhanssa Abdelhameed","Lack of Scientific Theses Publications Among Sudanese Medical Specialized Board (Smsb) Gradutes","https://doi.org/10.21203/rs.3.rs-5947306/v1","Clinical Pharmacy & Pharmacy Practice","2025"
"2025/11/01 10:23:58 م غرينتش+2","Elkhanssa Abdelhameed","Assessment of Healthcare Professionals’ and Students’ Perspectives and Intentions for Raising Public Awareness and Comprehension of Antimicrobial Resistance","https://doi.org/10.1155/cjid/4106594","Clinical Pharmacy & Pharmacy Practice","2025"
"2025/11/01 10:25:21 م غرينتش+2","Elkhanssa Abdelhameed","Adherence to Practice Guidelines for the Initial Treatment of Overt Hepatic Encephalopathy among Patients with Liver Cirrhosis: A Descriptive Retrospective Study","10.4103/mtsm.mtsm_25_24","Clinical Pharmacy & Pharmacy Practice","2025"
"2025/11/01 10:26:33 م غرينتش+2","Elkhanssa Abdelhameed","Publics’ Malaria Knowledge, Prevention and Treatment Practices, A Cross-sectional Survey From Khartoum, Sudan","https://doi.org/10.21203/rs.3.rs-72853/v1","Clinical Pharmacy & Pharmacy Practice","2020"
"2025/11/01 10:28:17 م غرينتش+2","Elkhanssa Abdelhameed","Assessment of Adverse Effects and Quality of Life in Sudanese Acne Patients Treated with Oral Isotretinoin: A Descriptive Cross-Sectional Study","https://www.researchgate.net/publication/394886390_Assessment_of_Adverse_Effects_and_Quality_of_Life_in_Sudanese_Acne_Patients_Treated_with_Oral_Isotretinoin_A_Descriptive_Cross-Sectional_Study","Clinical Pharmacy & Pharmacy Practice","2025"
"2025/11/01 10:32:20 م غرينتش+2","Elkhanssa Abdelhameed","Implementation And Evaluation Of Pharmaceutical Care Service In Sudanese Asthmatic Patients","https://doi.org/10.4321/S1886-36552008000100005","Clinical Pharmacy & Pharmacy Practice","2008"
